track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,key,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,144565150,69,69,143,D#,83,69,44,15,0,10,33
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,127567540,49,63,100,F#,49,17,35,71,9,11,3
Snooze,SZA,1,2022,12,9,2839,399686758,58,42,143,F,56,39,55,14,0,11,13
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,983637508,89,"1,632",112,C#,56,24,66,7,0,12,3
Take Two,BTS,1,2023,6,9,674,118482347,20,25,93,G,62,57,59,3,0,38,3
Lover,Taylor Swift,1,2012,1,1,8448,882831184,160,163,206,G,43,50,55,50,0,15,10
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,286400165,17,19,88,G,68,17,71,15,0,11,5
Mockingbird,Eminem,1,2004,1,1,12985,1241559043,49,"2,394",84,E,62,24,67,21,0,13,28
New Jeans,NewJeans,1,2023,7,7,77,29562220,8,4,134,E,81,53,72,51,0,12,5
Primera Cita,Carin Leon,1,2022,4,20,266,77309611,6,6,158,A#,54,50,40,61,0,10,6
Bones,Imagine Dragons,1,2021,3,11,4198,838079900,98,327,114,F,77,65,72,2,0,7,5
Set Fire to the Rain,Adele,1,2011,1,1,14739,1163620694,88,"2,163",108,D,61,47,68,0,0,13,3
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,1093605526,69,695,144,E,74,37,53,7,0,21,10
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,179659294,7,0,130,F,51,18,44,76,0,11,3
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,36912123,21,6,121,G,65,49,78,0,0,17,4
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,1205951614,101,"2,655",112,G,64,54,81,36,0,11,6
No Role Modelz,J. Cole,1,2014,12,9,21164,1791000570,80,476,100,A#,70,47,52,30,0,6,33
Tattoo,Loreen,1,2023,2,25,2988,201660859,74,145,150,D#,55,30,78,24,0,12,8
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,248088961,19,24,120,F,84,96,71,18,0,34,17
august,Taylor Swift,1,2020,7,24,7324,607123776,25,61,90,F,51,42,61,53,0,9,3
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,55842345,19,8,128,A,75,79,63,33,0,15,4
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,211050784,161,246,143,A,64,31,87,4,4,8,4
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,342897938,69,38,139,G#,74,68,68,3,0,26,4
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,2762,21,21,162,A#,49,78,64,19,0,11,4
Por las Noches,Peso Pluma,1,2021,6,11,457,330346424,8,4,92,,81,39,60,31,0,7,3
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,1953533826,201,"6,551",146,D,63,88,93,3,0,10,8
Watermelon Sugar,Harry Styles,1,2019,11,17,21915,2322580122,437,"1,212",95,,55,56,82,12,0,34,5
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,2355719893,221,"1,078",115,E,35,12,30,93,0,10,3
